Champion,Roles,DamageType,Scaling,HardEngage,FollowUpEngage,PickThreat,Frontline,Disengage,Waveclear,ZoneControl,ObjectiveSecure,AntiTank,FrontToBackDPS,DiveThreat,SideLaneThreat,Poke,FogThreat,EarlyPriority,PrimaryCarry,SustainedDPS,TurretSiege,SelfPeel,UtilityCarry
Aatrox,Top|Jungle,AD,Mid,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0
Ahri,Mid|Jungle|Support,Mixed,Late,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
Akali,Mid|Jungle,AD,Early,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
Akshan,ADC|Mid|Jungle,AD,Late,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0
Alistar,Support|Top,Mixed,Mid,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Ambessa,Top|Jungle|Mid,AD,Early,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0
Amumu,Support|Top,Mixed,Mid,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Anivia,Mid|Support,AP,Late,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1
Annie,Support|Mid,AP,Late,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
Aphelios,ADC,AD,Late,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0
Ashe,ADC|Support,Mixed,Late,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1
Aurelion Sol,Mid|Support,AP,Late,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1
Aurora,Mid|Jungle|Support,Mixed,Late,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
Azir,ADC|Mid|Support,Mixed,Late,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1
Bard,Support|Mid,AP,Late,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
Bel'Veth,Top|Jungle,AD,Mid,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0
Blitzcrank,Support|Top,Mixed,Mid,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Brand,Support|Mid,AP,Late,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
Braum,Support|Top,Mixed,Mid,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Briar,Top|Jungle|Mid,AD,Early,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0
Caitlyn,ADC,AD,Late,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0
Camille,Top|Jungle|Mid,AD,Early,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0
Cassiopeia,Mid|Support,AP,Late,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1
Cho'Gath,Top|Support|Mid,Mixed,Late,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
Corki,ADC|Mid|Support,Mixed,Late,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1
Darius,Top|Support|Jungle,AD,Mid,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0
Diana,Top|Jungle|Mid,AD,Early,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0
Dr. Mundo,Top|Support|Jungle,AD,Mid,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0
Draven,ADC,AD,Late,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0
Ekko,Mid|Jungle|Support,Mixed,Late,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
Elise,Mid|Jungle|Support,Mixed,Late,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
Evelynn,Mid|Jungle|Support,Mixed,Late,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
Ezreal,ADC|Mid|Support,Mixed,Late,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1
Fiddlesticks,Support|Mid,AP,Late,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
Fiora,Top|Jungle|Mid,AD,Early,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0
Fizz,Top|Jungle|Mid,AD,Early,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0
Galio,Top|Support|Mid,Mixed,Late,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
Gangplank,Top|Jungle,AD,Mid,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0
Garen,Top|Support|Jungle,AD,Mid,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0
Gnar,Top|Support|Jungle,AD,Mid,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0
Gragas,Top|Jungle|Mid|Support,Mixed,Late,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Graves,ADC,AD,Late,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0
